허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
수제 타코야끼,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 송화로214번길 7, 1층 (송절동, 청주테크노폴리스푸르지오)",충청북도 청주시 흥덕구 송절동 851 청주테크노폴리스푸르지오,,,,0,2021-02-01,2022-05-10,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
호식이빵,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 송화로214번길 7 (송절동, 청주테크노폴리스푸르지오)",충청북도 청주시 흥덕구 송절동 851 청주테크노폴리스푸르지오,,,,0,2021-04-27,2023-05-10,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
양재역 5번,99,서울특별시,서초구,서울특별시 서초구 남부순환로350길 4,서울특별시 서초구 양재동 12-3,37.48433811,127.035167,2,796400,2017-01-01,2022-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서울특별시 서초구,02-2155-6954,2022-11-25,3210000,서울특별시 서초구
고속국도 졸음쉼터,1,경기도,양주시,경기도 양주시 장흥면 서울외곽순환고속도로 58,경기도 양주시 장흥면 삼하리 250-16,37.67919783,126.9157818,1,월6500000원,2016-02-05,2022-02-28,토요일+일요일+공휴일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 양주시청 위생과,031-8082-5292,2022-06-29,5590000,경기도 양주시
수성랜드,1,대구광역시,수성구,대구광역시 수성구 용학로 35-5(상동),대구광역시 수성구 상동 725,35.82683142,128.6128426,1,0,2021-05-01,2021-07-31,토요일+일요일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 수성구 식품위생과,053-666-2761,2022-07-01,3460000,대구광역시 수성구
경부선연곡졸음쉼터내영업허용장소,07,충청남도,천안시,,충청남도 천안시 서북구 입장면 연곡리 243-5,36.95431265,127.1830068,1,"최초6개월미부과,이후 6개월은 푸드트럭사업 사용료를 운영종료시 일할계산",2022-01-13,2023-01-12,연중무휴,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
아파트내 장터,99,충청남도,천안시,"충청남도 천안시 서북구 스마일시티2로 2 (차암동, e편한세상 스마일시티 2차)",충청남도 천안시 서북구 차암동 543 e편한세상 스마일시티 2차,36.84747368,127.1079324,3,사용료 미신고,2022-02-25,2022-08-16,월+화+수+금+토+일,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,,,,,,,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
아파트내 장터,99,충청남도,천안시,"충청남도 천안시 서북구 백석3로 69, 1층 (백석동, 주공그린빌11단지1차아파트)",충청남도 천안시 서북구 백석동 915 주공그린빌11단지1차아파트,36.82264997,127.1192674,4,사용료 미신고,2022-03-17,2024-02-09,월+화+수+금+토+일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
아파트내 장터,99,충청남도,천안시,"충청남도 천안시 서북구 봉정로 381, 1층 (두정동, 주공아파트)",충청남도 천안시 서북구 두정동 527-2 주공아파트,36.83600092,127.1450076,1,사용료 미신고,2022-03-18,2023-03-17,월+화+목+금+토+일,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
대명리조트,01,충청남도,천안시,충청남도 천안시 동남구 성남면 종합휴양지로 200,충청남도 천안시 동남구 성남면 용원리 672,36.75731116,127.2240958,1,매출액의22,2018-07-02,2099-01-01,연중무휴,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,,충청남도 천안시 동남구청 환경위생과,041-521-4324,2022-06-13,4490000,충청남도 천안시
호서대학교,06,충청남도,천안시,충청남도 천안시 동남구 호서대길 12 호서대학교천안캠퍼스,충청남도 천안시 동남구 안서동 268 호서대학교천안캠퍼스,36.82711428,127.1829199,9,사용료 미신고,2022-05-24,2022-12-31,첫째 주+셋째 주 제외한 나머지 주,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,충청남도 천안시 동남구청 환경위생과,041-521-4324,2022-06-13,4490000,충청남도 천안시
김대중컨벤션센터,8,광주광역시,서구,광주광역시 서구 상무누리로 30,광주광역시 서구 치평동 1159-2,35.14677706,126.8404805,,연 4200000원,2017-12-16,2022-12-31,연중무휴,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,광주광역시 서구청,062-360-7322,2022-10-07,6290000,광주광역시
상무시민공원,4,광주광역시,서구,"광주광역시 서구 상무공원로 101(1층 치평동, 상무시민공원)",광주광역시 서구 치평동 1162,35.1533934,126.8410957,,확인불가,2017-05-09,2022-12-31,연중무휴,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,광주광역시 서구청,062-360-7322,2022-10-07,6290000,광주광역시
풍암호수공원,4,광주광역시,서구,,광주광역시 서구 풍암동 491-3,,,,연 57000원,2017-05-09,2023-07-31,연중무휴,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,광주광역시 서구청,062-360-7322,2022-10-07,6290000,광주광역시
벽진동503-3일원,8,광주광역시,서구,광주광역시 서구 벽진동,광주광역시 서구 벽진동 503-3,,,,확인불가,2016-06-15,2022-12-31,연중무휴,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,주류,광주광역시 서구청,062-360-7322,2022-10-07,6290000,광주광역시
팜랜드,1,경기도,안성시,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451,36.9920809,127.1944227,1,-,2015-05-29,2025-05-28,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,-,농업협동조합중앙회,031-8053-7952,2021-03-15,4080000,경기도 안성시
안성시종합운동장,3,경기도,안성시,경기도 안성시 보개면 종합운동장로 203,경기도 안성시 보개면 양복리 238-2,37.0147795,127.323606,1,-,2015-12-11,2025-12-10,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,-,안성시 시설관리공단,031-672-1234,2021-03-15,4080000,경기도 안성시
한경대,6,경기도,안성시,경기도 안성시 중앙로 327,경기도 안성시 석정동 63-1,37.01020238,127.2637664,1,-,2018-10-24,2021-10-23,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,한경대,031-678-5734,2021-03-15,4080000,경기도 안성시
안성맞춤랜드,1,경기도,안성시,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286562,127.3078038,1,-,2019-03-12,2019-08-30,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,안성시 농업기술센터,031-678-5734,2021-03-15,4080000,경기도 안성시
한밭야구장,3,대전광역시,중구,"대전광역시 중구 대종로 373, 한밭야구장(부사동)",대전광역시 중구 부사동 209-1,36.3173370007,127.4280138234,4,10000000원,2020-04-17,2020-12-31,야구 비시즌,18:30,20:30,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,치킨 외,대전광역시 중구청 위생과,042-606-6106,2022-09-02,3650000,대전광역시 중구
오월드,1,대전광역시,중구,"대전광역시 중구 사정공원로 70, 대전동물원(사정동)",대전광역시 중구 사정동 142,36.2874992442,127.3985038951,4,0원,2022-05-20,2022-08-31,연중무휴,09:30,18:00,09:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,대전광역시 중구청 위생과,042-606-6106,2022-09-02,3650000,대전광역시 중구
카페솔솔(청주흥덕시니어클럽),99,충청북도,흥덕구,충청북도 청주시 흥덕구 직지대로351번길 56,충청북도 청주시 흥덕구 향정동 30-8,,,,0,2021-06-02,2024-05-16,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
와우(WOW),99,충청북도,흥덕구,"충청북도 청주시 흥덕구 풍년로142번길 39, 1층 (가경동)",충청북도 청주시 흥덕구 가경동 415-9,,,,0,2021-08-23,2023-08-31,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
튼튼푸드랩,99,충청북도,흥덕구,충청북도 청주시 흥덕구 옥산면 오창제방길 165-5,충청북도 청주시 흥덕구 옥산면 남촌리 964,,,,0,2021-08-30,2029-12-31,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
잇와플 7호점,99,충청북도,흥덕구,충청북도 청주시 흥덕구 옥산면 오송가락로 1056 (청주리버파크자이),충청북도 청주시 흥덕구 옥산면 가락리 981 청주리버파크자이,,,,0,2021-10-27,2022-09-30,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
테헤란로83길,99,서울특별시,강남구,서울특별시 강남구 테헤란로83길 12,서울특별시 강남구 삼성동 158-5,37.50819572,127.0579438,1,1010570,2020-03-23,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
상록회관 뒷편,99,서울특별시,강남구,서울특별시 강남구 언주로 508,서울특별시 강남구 역삼동 701,37.50396606,127.0429099,3,4866510,2020-03-23,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
테헤란로202,99,서울특별시,강남구,서울특별시 강남구 테헤란로 202,서울특별시 강남구 역삼동 717,37.50041013,127.0379834,1,2203520,2020-03-23,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
테헤란로152,99,서울특별시,강남구,서울특별시 강남구 테헤란로 152,서울특별시 강남구 역삼동 737,37.50002424,127.0365086,1,2203520,2020-03-20,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
태정푸드,99,충청북도,청원구,충청북도 청주시 청원구 오창읍 오창공원로 96 (한신 더 휴 센트럴파크),충청북도 청주시 청원구 오창읍 각리 636-2 한신 더 휴 센트럴파크,,,,0,2021-08-26,2022-07-06,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 청원구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
불티나닭강정,99,충청북도,청원구,충청북도 청주시 청원구 오창읍 중부로 760 (오창 롯데캐슬 더 하이스트),"충청북도 청주시 청원구 오창읍 양청리 810-2 오창 롯데캐슬 더 하이스트, 알뜰시장",,,,0,2022-06-03,2023-04-30,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 청원구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 귤현동 396,,,,연592500원,2022-03-07,2024-03-06,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2022-08-19,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,"인천광역시 계양구 평동 35-1, 34-8, 23-12",,,,연649000원,2022-03-07,2024-03-06,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2022-08-19,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 평동 23-12,,,,연649000원,2022-03-07,2024-03-06,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2022-08-19,3550000,인천광역시 계양구
북천 레일바이크 역사,99,경상남도,하동군,경상남도 하동군 북천면 경서대로 2446-4,,35.11344113,127.8928002,1,156400,2021-09-23,2023-11-30,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,경상남도 하동군청,055-880-2355,2022-11-24,5440000,경상남도 하동군
고속도로 졸음쉼터,7,경기도,성남시 수정구,,경기도 성남시 수정구 수진동 산39-13,,,1,매출 대비 지불,2020-10-19,2022-10-18,연중무휴,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,한국도로공사,02-2225-8425,2022-11-13,3780000,경기도 성남시
화진포관광지1,02,강원도,고성군,강원도 고성군 현내면 화진포길 412,강원도 고성군 현내면 초도리 94번지 2호,38.48138302,128.4356988,1,129800,2015-06-17,2021-07-10,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
화진포관광지2,02,강원도,고성군,강원도 고성군 거진읍 화진포길 280,강원도 고성군 거진읍 화포리 605번지,38.47250441,128.4430193,1,0,2015-10-27,2100-01-01,연중무휴,08:00,18:00,08:00,18:00,09:00,17:00,09:00,17:00,09:00,17:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,09:00,17:00,09:00,17:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
기타장소,99,강원도,고성군,강원도 고성군 간성읍 건봉사로 330,강원도 고성군 간성읍 해상리 645번지,38.38732545,128.4149483,1,0,2019-07-08,2100-01-01,연중무휴,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
봉포리 상상마당1,99,강원도,고성군,,강원도 고성군 토성면 봉포리 290번지 4호,38.2544524,128.5629057,1,0,2020-04-29,2100-01-01,연중무휴,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
봉포리 상상마당2,99,강원도,고성군,,강원도 고성군 토성면 봉포리 290번지 1호,38.2602593,128.5413953,1,0,2020-06-05,2100-01-01,연중무휴,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
봉포리 상상마당3,99,강원도,고성군,,강원도 고성군 토성면 봉포리 290번지 7호,38.2603941,128.5408803,1,0,2020-06-15,2100-01-01,연중무휴,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,강원도 고성군보건소,033-680-3954,2022-12-01,4340000,강원도 고성군
경천섬푸드트럭ZONE,08,경상북도,상주시,,경상북도 상주시 도남동 산39-9,,,7,35110원,2022-12-01,2023-11-30,없음,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,18:00,10:00,18:00,,상주시청,054-537-5129,2022-11-22,5110000,경상북도 상주시
자연학습공원,4,경기도,의왕시,"경기도 의왕시 왕송못동로 307 (월암동, 자연학습공원 내)",경기도 의왕시 월암동 543번지 3호 자연학습공원 내,37.30710763,126.9531458,1,년 39930원,2016-07-07,2018-07-06,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 의왕시,031-345-2821,2022-11-23,4030000,경기도 의왕시
자연학습공원,4,경기도,의왕시,"경기도 의왕시 왕송못동로 307 (월암동, 월암동 자연학습공원 내)",경기도 의왕시 월암동 543번지 3호 월암동 자연학습공원 내,37.30710763,126.9531458,1,년 39930원,2016-08-25,2018-08-16,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 의왕시,031-345-2821,2022-11-23,4030000,경기도 의왕시
단원구노인복지관,08,경기도,안산시 단원구,"경기도 안산시 단원구 선부광장1로 134, 단원구노인복지관 주차장 좌측 일부 (선부동)",경기도 안산시 단원구 선부동 1077-9,37.33226854,126.8105841,,0,2018-03-09,2099-12-31,토+일+공휴일,09:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 안산시 단원구청 환경위생과,031-481-6235,2022-12-20,3930000,경기도 안산시
여주종합운동장,03,경기도,여주시,경기도 여주시 영릉로 123,경기도 여주시 월송동 1,37.29303754,127.6229022,1,0,2016-04-01,2019-03-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2022-12-01,5700000,경기도 여주시
여주프리미엄아울렛,99,경기도,여주시,경기도 여주시 명품로 360,경기도 여주시 상거동 460,37.24594805,127.6123848,10,0,2018-06-01,2018-08-31,계약일,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 여주시청,031-887-2654,2022-12-01,5700000,경기도 여주시
아파트내 장터,99,충청남도,천안시,충청남도 천안시 동남구 일봉로 20 성지새말2단지아파트,충청남도 천안시 동남구 신방동 874 성지새말2단지아파트,36.79253733,127.1306175,1,사용료 미신고,2022-05-23,2023-03-31,화+수+목+금+토+일,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,충청남도 천안시 동남구청 환경위생과,041-521-4324,2022-06-13,4490000,충청남도 천안시
안중시장 고객센터 앞,99,경기도,평택시,,경기도 평택시 안중읍 안중리 267-5,36.987502,126.928444,1,연 273240원,2021-12-08,2022-12-07,연중무휴* 휴무시 사전 알림 (행사참여 등),10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 평택시,031-8024-2292,2022-06-02,3910000,경기도 평택시
서구문화회관,99,대구광역시,서구,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.545535,1,0,2018-03-12,2019-03-11,미공연 시,09:00,22:00,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,술,대구광역시 서구청,053-663-2774,2022-06-28,3430000,대구광역시 서구
황룡친수공원,04,광주광역시,광산구,,광주광역시 광산구 선암동 214-4,35.14456637,126.7791905,1,월 43520원,2020-06-10,2022-06-09,연중무휴,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,주류(음주행위제한),광주광역시 광산구청,062-960-8784,2022-06-15,3630000,광주광역시 광산구
관광지-푸드트럭 업소명:비발디푸드트럭,99,강원도,홍천군,강원도 홍천군 서면 한치골길 262 (대명비발디파크 셔틀버스주차장),강원도 홍천군 서면 팔봉리 1290-14,,,1,월 매출액의 22+비수기: 월 매출액의 21,2016-05-27,2021-05-31,비수기+우천시 휴무,10:00,17:00,10:00,22:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,,강원도 홍천군청,033-430-2654,2022-06-22,4250000,강원도 홍천군
개인사유지,99,경상남도,거창군,,경상남도 거창군 남하면 무릉리 975,35.6665583867,127.943758,1,0,2020-12-03,2023-11-11,연중무휴,09:00,16:30,09:00,18:00,09:00,16:30,09:00,16:30,09:00,16:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,17:30,09:00,16:30,09:00,16:30,해당사항 없음.,경상남도 거창군,055-940-3335,2022-06-01,5470000,경상남도 거창군
